ElementID,ParamID,Meaning,ValueType,SafeOrTypicalRange,Notes,ObservedValues,ObservedInFiles
Dynamics,Band 1 Comp Soft Knee,OBSERVED_UNKNOWN,unknown,do not change blindly,Observed in XML but not semantically confirmed,"0,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamics,Band 1 Mix,OBSERVED_UNKNOWN,unknown,do not change blindly,Observed in XML but not semantically confirmed,"60,00000381",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamics,Band 2 Comp Attack,OBSERVED_UNKNOWN,unknown,do not change blindly,Observed in XML but not semantically confirmed,"15,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamics,Band 2 Comp Ratio,OBSERVED_UNKNOWN,unknown,do not change blindly,Observed in XML but not semantically confirmed,"1,70000005",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamics,Band 2 Comp Release,OBSERVED_UNKNOWN,unknown,do not change blindly,Observed in XML but not semantically confirmed,"10,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamics,Band 2 Comp Soft Knee,OBSERVED_UNKNOWN,unknown,do not change blindly,Observed in XML but not semantically confirmed,"0,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamics,Band 2 Mix,OBSERVED_UNKNOWN,unknown,do not change blindly,Observed in XML but not semantically confirmed,"50,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamics,Mode,OBSERVED_UNKNOWN,unknown,do not change blindly,Observed in XML but not semantically confirmed,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 1 Enable,Band enabled,bool,1 or 0,"If 0, other band params may not affect audio",1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 1 Frequency,Band center/cutoff frequency,Hz float,material-dependent,Use frequency map; avoid blind broad changes,"28,00000000; 30,00000000; 30,16315269; 30,16315460",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 1 Gain,Band gain,dB float,-3..+2 typical; Dynamic EQ often negative,Static EQ/DynEQ band gain,"0,00000000; 2,10188675",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 1 Q,Band Q / width,float,0.7..5 depending task,Higher = narrower,"8,72222233",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 1 Visible,GUI visibility,bool,1,Usually not audio-critical,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 2 Enable,Band enabled,bool,1 or 0,"If 0, other band params may not affect audio",1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 2 Frequency,Band center/cutoff frequency,Hz float,material-dependent,Use frequency map; avoid blind broad changes,"220,00000000; 258,39843750",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 2 Gain,Band gain,dB float,-3..+2 typical; Dynamic EQ often negative,Static EQ/DynEQ band gain,"-0,40000000; -0,60000000; 0,86961937",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 2 Q,Band Q / width,float,0.7..5 depending task,Higher = narrower,"0,88028973; 0,90000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 2 Visible,GUI visibility,bool,1,Usually not audio-critical,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 3 Enable,Band enabled,bool,1 or 0,"If 0, other band params may not affect audio",1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 3 Frequency,Band center/cutoff frequency,Hz float,material-dependent,Use frequency map; avoid blind broad changes,"538,33007812; 650,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 3 Gain,Band gain,dB float,-3..+2 typical; Dynamic EQ often negative,Static EQ/DynEQ band gain,"0,00000000; 0,20000000; 0,99068642",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 3 Q,Band Q / width,float,0.7..5 depending task,Higher = narrower,"1,10000000; 1,20000000; 1,32547987",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 3 Visible,GUI visibility,bool,1,Usually not audio-critical,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 4 Enable,Band enabled,bool,1 or 0,"If 0, other band params may not affect audio",1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 4 Frequency,Band center/cutoff frequency,Hz float,material-dependent,Use frequency map; avoid blind broad changes,"1281,22558594; 3200,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 4 Gain,Band gain,dB float,-3..+2 typical; Dynamic EQ often negative,Static EQ/DynEQ band gain,"-0,25000000; -0,40000000; 1,13650131",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 4 Q,Band Q / width,float,0.7..5 depending task,Higher = narrower,"1,16601372; 1,40000000; 1,50000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 4 Visible,GUI visibility,bool,1,Usually not audio-critical,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 5 Enable,Band enabled,bool,1 or 0,"If 0, other band params may not affect audio",1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 5 Frequency,Band center/cutoff frequency,Hz float,material-dependent,Use frequency map; avoid blind broad changes,"3111,54785156; 8000,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 5 Gain,Band gain,dB float,-3..+2 typical; Dynamic EQ often negative,Static EQ/DynEQ band gain,"-0,25000000; -0,70000000; -0,97592354",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 5 Q,Band Q / width,float,0.7..5 depending task,Higher = narrower,"0,92308491; 1,00000000; 1,30000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 5 Visible,GUI visibility,bool,1,Usually not audio-critical,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 6 Enable,Band enabled,bool,1 or 0,"If 0, other band params may not affect audio",1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 6 Frequency,Band center/cutoff frequency,Hz float,material-dependent,Use frequency map; avoid blind broad changes,"12000,00000000; 7545,09716797",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 6 Gain,Band gain,dB float,-3..+2 typical; Dynamic EQ often negative,Static EQ/DynEQ band gain,"-0,10000000; -0,30000000; -0,90645868; -1,35000000; -1,35000038",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 6 Q,Band Q / width,float,0.7..5 depending task,Higher = narrower,"0,70675278; 0,80000000; 0,90000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 6 Visible,GUI visibility,bool,1,Usually not audio-critical,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 8 Enable,Band enabled,bool,1 or 0,"If 0, other band params may not affect audio",1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 8 Frequency,Band center/cutoff frequency,Hz float,material-dependent,Use frequency map; avoid blind broad changes,"19700,00000000; 19709,74218750",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 8 Gain,Band gain,dB float,-3..+2 typical; Dynamic EQ often negative,Static EQ/DynEQ band gain,"-0,20000000; -0,50000000; -3,12991142; -3,29999924; -3,30000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 8 Q,Band Q / width,float,0.7..5 depending task,Higher = narrower,"8,72222233",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Equalizer,Band 8 Shape,Filter shape enum,enum int,verify from GUI/template,Do not change blindly,2,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
